ANO,FASE,IDADE,GENERO,ANO_INGRESSO,INSTITUICAO_ENSINO,IAA,IEG,IPS,IDA,IND_PV,IAN,IPP,NOTA_MATEM,NOTA_PORT,POSSUI_DEFASAGEM,INDE_ATUAL,IPP_IMPUTADO
2022,7,19.0,1,2016,1,8.3,4.1,5.6,4.0,7.278,5.0,7.875,2.7,3.5,1,5.783,1
2022,7,17.0,1,2017,2,8.8,5.2,6.3,6.8,6.778,10.0,7.875,6.3,4.5,0,7.055,1
2022,7,17.0,1,2016,2,0.0,7.9,5.6,5.6,7.556,10.0,7.875,5.8,4.0,0,6.591,1
2022,7,17.0,0,2017,2,8.8,4.5,5.6,5.0,5.278,10.0,7.875,2.8,3.5,0,5.951,1
2022,7,17.0,1,2016,2,7.9,8.6,5.6,5.2,7.389,10.0,7.875,7.0,2.9,0,7.427,1
2022,7,18.0,1,2021,1,7.9,4.5,7.5,3.3,7.222,5.0,7.875,2.3,5.3,1,5.848,1
2022,7,18.0,0,2017,2,0.0,8.4,7.5,7.6,7.667,5.0,7.875,8.2,5.7,1,6.818,1
2022,7,20.0,1,2018,1,7.1,4.6,6.3,1.6,6.278,5.0,7.875,1.2,0.7,1,4.786,1
2022,7,18.0,1,2019,1,8.8,9.5,7.5,6.7,9.5,5.0,7.875,5.5,6.0,1,8.109,1
2022,7,18.0,1,2021,1,8.3,5.2,5.0,4.1,7.056,5.0,7.875,3.3,2.6,1,5.784,1
2022,7,18.0,1,2016,1,9.2,4.2,5.0,3.0,6.389,5.0,7.875,1.8,2.5,1,5.323,1
2022,7,17.0,1,2020,1,0.0,4.0,6.9,1.5,6.389,10.0,7.875,2.7,1.1,0,4.832,1
2022,7,18.0,0,2016,1,7.9,7.4,7.5,4.7,8.056,5.0,7.875,3.5,5.5,1,6.902,1
2022,7,21.0,0,2022,1,7.9,8.3,7.5,4.0,7.75,5.0,7.875,8.0,0.0,1,6.793,1
2022,7,18.0,0,2022,1,8.8,10.0,7.5,7.3,7.292,5.0,7.875,8.0,6.5,1,7.783,1
2022,7,19.0,0,2022,1,7.9,8.3,5.0,3.5,6.333,5.0,7.875,7.0,0.0,1,6.112,1
2022,7,20.0,0,2022,1,8.8,10.0,7.5,7.8,8.292,5.0,7.875,9.0,6.5,1,8.068,1
2022,7,19.0,0,2022,1,6.3,8.7,6.3,9.0,6.875,5.0,7.875,9.0,9.0,1,7.226,1
2022,7,19.0,1,2022,1,7.9,9.5,7.5,8.0,7.0,5.0,7.875,7.0,9.0,1,7.665,1
2022,7,19.0,1,2022,1,7.1,10.0,6.3,7.8,7.167,5.0,7.875,9.0,6.5,1,7.535,1
2022,7,18.0,0,2022,1,9.6,9.2,7.5,3.8,7.25,5.0,7.875,7.0,0.5,1,6.945,1
2022,6,17.0,1,2019,2,8.3,7.4,8.1,6.7,8.833,5.0,7.8125,9.0,3.1,1,7.474,1
2022,6,17.0,0,2021,1,8.3,8.2,8.1,6.7,8.556,5.0,7.8125,7.2,4.7,1,7.677,1
2022,6,17.0,1,2021,2,9.2,7.9,6.9,8.6,9.111,5.0,7.8125,10.0,6.3,1,8.087,1
2022,6,17.0,1,2021,1,8.3,8.3,8.8,6.9,9.667,5.0,7.8125,9.2,3.8,1,7.979,1
2022,6,17.0,0,2022,1,9.6,8.8,10.0,8.0,10.0,5.0,7.8125,9.5,4.4,1,8.677,1
2022,6,17.0,0,2016,2,0.0,7.6,8.1,8.0,9.111,5.0,7.8125,7.7,6.3,1,7.124,1
2022,6,17.0,1,2019,1,7.9,6.1,7.5,5.0,6.333,5.0,7.8125,8.2,1.5,1,6.242,1
2022,6,17.0,0,2022,1,0.0,4.0,8.8,3.7,7.611,5.0,7.8125,6.3,1.1,1,4.985,1
2022,6,16.0,1,2021,1,8.8,6.4,7.5,7.5,7.333,10.0,7.8125,8.5,4.4,0,7.605,1
2022,6,17.0,1,2019,2,10.0,9.5,9.4,8.0,10.0,5.0,7.8125,9.0,5.7,1,8.843,1
2022,6,16.0,1,2018,2,8.8,5.2,8.8,6.1,7.944,10.0,7.8125,5.7,3.6,0,7.37,1
2022,6,17.0,1,2020,1,0.0,4.6,7.5,4.8,6.0,5.0,7.8125,9.0,1.6,1,4.952,1
2022,6,17.0,0,2016,2,9.6,4.8,8.1,3.8,7.278,5.0,7.8125,4.7,4.0,1,6.259,1
2022,6,17.0,1,2019,2,10.0,9.6,9.4,8.5,10.0,5.0,7.8125,9.0,7.1,1,8.965,1
2022,6,17.0,1,2019,2,9.2,9.0,6.9,6.8,8.944,5.0,7.8125,8.5,4.3,1,7.876,1
2022,6,17.0,1,2019,2,0.0,5.4,5.0,5.9,5.222,5.0,7.8125,2.3,5.3,1,4.95,1
2022,6,17.0,1,2017,2,9.2,8.9,7.5,8.6,9.833,5.0,7.8125,9.0,7.0,1,8.523,1
2022,6,16.0,1,2017,2,0.0,4.8,6.9,6.9,6.111,10.0,7.8125,7.7,5.1,0,6.033,1
2022,5,16.0,1,2016,2,7.9,7.8,7.5,6.8,7.75,5.0,7.65625,4.7,7.3,1,7.203,1
2022,5,17.0,0,2018,1,9.2,6.1,5.0,5.6,4.375,5.0,7.65625,6.3,2.5,1,5.581,1
2022,5,15.0,0,2019,2,8.3,7.9,5.6,4.8,6.083,10.0,7.65625,3.7,4.5,0,6.72,1
2022,5,16.0,1,2019,1,6.3,6.5,5.6,4.3,5.958,5.0,7.65625,4.0,5.8,1,5.486,1
2022,5,17.0,1,2021,1,5.0,5.9,7.5,3.0,7.292,5.0,7.65625,2.3,3.5,1,5.542,1
2022,5,15.0,1,2019,2,7.9,8.9,5.6,6.8,7.417,10.0,7.65625,6.3,5.2,0,7.591,1
2022,5,17.0,1,2022,1,8.8,8.4,6.3,2.1,7.083,5.0,7.65625,2.8,2.8,1,6.048,1
2022,5,17.0,1,2022,1,7.9,6.3,7.5,2.1,7.042,5.0,7.65625,2.5,2.2,1,5.677,1
2022,5,15.0,1,2017,2,6.7,8.4,7.5,8.1,8.5,10.0,7.65625,6.7,8.0,0,8.006,1
2022,5,17.0,1,2022,1,7.5,7.4,7.5,3.9,7.042,5.0,7.65625,1.5,4.2,1,6.304,1
2022,5,18.0,1,2022,1,7.5,8.4,7.5,7.8,7.542,2.5,7.65625,6.5,7.3,1,7.138,1
2022,5,17.0,1,2022,1,8.8,7.6,7.5,5.0,6.5,5.0,7.65625,4.5,4.5,1,6.488,1
2022,5,13.0,0,2018,2,9.6,8.9,7.5,6.2,7.5,10.0,7.65625,3.3,6.3,0,7.861,1
2022,5,17.0,0,2022,1,9.2,7.0,7.5,7.0,6.458,5.0,7.65625,6.0,8.0,1,6.725,1
2022,5,16.0,1,2022,1,7.9,6.9,7.5,4.8,6.125,5.0,7.65625,3.0,6.5,1,6.058,1
2022,5,16.0,1,2017,1,7.1,7.6,5.6,7.5,6.5,5.0,7.65625,6.7,7.8,1,6.576,1
2022,5,15.0,1,2019,2,10.0,10.0,7.5,7.0,8.25,10.0,7.65625,4.5,6.5,0,8.404,1
2022,5,16.0,0,2017,2,7.1,8.1,5.6,8.4,7.875,5.0,7.65625,9.0,7.0,1,7.305,1
2022,5,15.0,0,2017,2,9.6,9.2,6.3,7.2,8.125,10.0,7.65625,4.5,8.0,0,8.136,1
2022,5,17.0,0,2022,1,9.2,9.3,7.5,7.2,7.917,5.0,7.65625,7.0,5.7,1,7.642,1
2022,5,18.0,1,2021,1,6.7,6.0,7.5,4.9,6.167,2.5,7.65625,5.0,6.2,1,5.537,1
2022,5,15.0,0,2021,1,9.2,7.4,7.5,5.8,7.875,10.0,7.65625,1.7,6.3,0,7.533,1
2022,5,17.0,0,2022,1,8.8,9.4,7.5,9.3,7.25,5.0,7.65625,8.5,10.0,1,7.891,1
2022,5,16.0,0,2018,2,8.3,9.1,8.8,8.7,9.417,5.0,7.65625,8.2,8.2,1,8.282,1
2022,5,16.0,0,2019,1,7.1,8.1,8.1,7.5,8.25,5.0,7.65625,4.8,8.2,1,7.368,1
2022,5,17.0,1,2022,1,8.3,7.7,7.5,9.3,7.875,5.0,7.65625,9.0,9.5,1,7.712,1
2022,5,17.0,1,2022,1,7.5,5.6,7.5,4.5,5.917,5.0,7.65625,3.0,6.0,1,5.665,1
2022,5,16.0,1,2019,1,5.8,3.0,7.5,3.6,6.889,5.0,7.65625,3.0,4.2,1,5.195,1
2022,5,16.0,0,2019,1,8.3,6.0,7.5,4.0,7.944,5.0,7.65625,4.7,4.8,1,6.438,1
2022,5,16.0,0,2018,1,8.3,6.1,7.5,2.5,6.167,5.0,7.65625,4.7,2.6,1,5.718,1
2022,5,16.0,1,2017,1,8.8,6.6,5.0,2.9,6.111,5.0,7.65625,5.7,2.9,1,5.712,1
2022,5,17.0,1,2019,1,7.9,2.0,7.5,1.2,5.833,5.0,7.65625,1.3,2.2,1,4.332,1
2022,5,17.0,1,2022,1,8.3,7.5,7.5,7.8,8.667,5.0,7.65625,7.5,7.8,1,7.64,1
2022,5,17.0,1,2022,1,7.1,3.0,7.5,3.3,7.278,5.0,7.65625,4.5,3.0,1,5.271,1
2022,5,16.0,0,2022,1,9.6,3.3,7.5,2.0,5.833,5.0,7.65625,6.0,0.0,1,4.989,1
2022,5,16.0,1,2022,1,5.4,3.8,6.3,0.0,4.625,5.0,7.65625,0.0,0.0,1,3.915,1
2022,5,15.0,1,2017,2,10.0,9.1,8.1,8.7,9.292,10.0,7.65625,9.3,8.3,0,9.105,1
2022,5,16.0,0,2019,1,7.1,2.7,5.0,0.7,4.625,5.0,7.65625,0.3,1.8,1,3.846,1
